id,PB,PS,NB,NS,KB,KS,W,UP,down,R,T,G,B
E1,2704507438,1939556713,1218,3154,3.69E-05,0.000755058,0,437,360,0.934135364,32,6,1
E2,51622552.02,177184781.2,9924,3138,6.63E-05,0.001633009,0.626238438,3636,1611,0.941548405,38,6,1
E3,17216526.91,282398840.7,1378,7480,3.22E-05,0.001104628,0.724423942,573,136,0.815660799,38,2,1
E4,81788591.53,738840893.5,163,699,0,0,1,130,26,0.909221385,38,2,1
E5,73986816.54,85240154.03,674,365,0.001142287,0.02236556,0.545852609,392,33,0.94044665,37,4,1
E6,104926401,128007074,3503,294,0.001345596,0.026793051,0.554169986,1524,151,0.930320912,37,6,1
E7,22302005.53,260615379.3,3989,2536,0.001370012,0.026182011,0.705528807,1588,1216,0.812603024,38,6,1
E8,53945380.27,125079496,6869,2639,0.001374691,0.026335126,0.587962772,2611,2731,0.923255159,38,6,1
E9,8352783.99,120022592.3,1325,1818,0.001389903,0.026654955,0.616468824,741,124,0.949293841,38,6,1
E10,1916637.43,120868769.3,1321,176,0.001981847,0.027511331,0.621589997,880,27,0.923506661,37,4,1
E11,55851538.25,88716570.07,1048,573,0.049600636,0.036311242,0.561050674,466,44,0.941206285,33,2,1
E12,31804494.94,183002265.4,584,197,0.055768309,0.037620281,0.644266206,395,5,0.957129094,37,4,1
E13,32774820.15,78403239.96,4178,2139,0.055735695,0.02811991,0.570026315,725,3246,0.92435209,38,6,1
E14,42540044.19,81453408.68,2175,1032,0.07429349,0.037263844,0.565304064,910,829,0.893371758,36,2,1
E15,2882366.66,90869318.14,55,935,0.093237034,0.029649287,0.599814248,33,2,0.939297125,37,6,1
E16,144576.19,71185561.98,133,130,0.093511998,0.03177968,0.587897279,77,55,0.92866941,37,6,1
E17,47316464.44,55620392.4,2309,181,0.072000853,0.038601049,0.543778486,871,197,0.910108259,37,6,1
E18,45090767.67,64451815.42,1759,111,0.072537271,0.048890729,0.551554222,644,49,0.932799215,37,6,1
E19,68816240.21,69384250.43,480,914,0.072830663,0.051958248,0.53833833,167,516,0.902164502,37,6,1
E20,65052891.45,76156134.45,336,252,0.072997159,0.054150931,0.545747058,71,26,0.931052632,37,4,1
E21,40181149.04,47368989.4,694,504,0.073546842,0.063142552,0.542993616,480,338,0.911717922,37,4,1
E22,12246249.38,20131173.98,245,222,0.074284327,0.074742554,0.543483829,78,47,0.890428212,37,6,1
E23,65509015.23,69133127.41,1554,1116,0.074449257,0.076813038,0.540487483,685,119,0.949600564,37,4,1
